prog	rankval	mt	iu	okp	auc
233	InFusion	8	5	0	0	0.35
234	InFusion	9	5	0	1	0.34
235	InFusion	8	5	1	0	0.38
236	InFusion	7	5	1	1	0.37
237	InFusion	10	6	0	0	0.38
238	InFusion	10	6	0	1	0.37
239	InFusion	10	6	1	0	0.42
240	InFusion	10	6	1	1	0.41
241	InFusion	10	7	0	0	0.41
242	InFusion	10	7	0	1	0.41
243	InFusion	10	7	1	0	0.47
244	InFusion	10	7	1	1	0.47
245	InFusion	10	8	0	0	0.43
246	InFusion	10	8	0	1	0.43
247	InFusion	11	8	1	0	0.5
248	InFusion	11	8	1	1	0.5
249	InFusion	9	9	0	0	0.44
250	InFusion	9	9	0	1	0.44
251	InFusion	11	9	1	0	0.52
252	InFusion	11	9	1	1	0.52
253	InFusion	9	10	0	0	0.45
254	InFusion	9	10	0	1	0.45
255	InFusion	11	10	1	0	0.55
256	InFusion	11	10	1	1	0.54
257	TopHat-Fusion	9	3	0	0	0.14
258	TopHat-Fusion	9	3	0	1	0.14
259	TopHat-Fusion	9	3	1	0	0.15
260	TopHat-Fusion	9	3	1	1	0.15
261	TopHat-Fusion	12	4	0	0	0.25
262	TopHat-Fusion	12	4	0	1	0.25
263	TopHat-Fusion	11	4	1	0	0.28
264	TopHat-Fusion	9	4	1	1	0.28
265	TopHat-Fusion	13	5	0	0	0.27
266	TopHat-Fusion	12	5	0	1	0.27
267	TopHat-Fusion	13	5	1	0	0.31
268	TopHat-Fusion	13	5	1	1	0.32
269	TopHat-Fusion	13	6	0	0	0.28
270	TopHat-Fusion	13	6	0	1	0.28
271	TopHat-Fusion	13	6	1	0	0.34
272	TopHat-Fusion	13	6	1	1	0.34
273	TopHat-Fusion	13	7	0	0	0.29
274	TopHat-Fusion	13	7	0	1	0.3
275	TopHat-Fusion	15	7	1	0	0.36
276	TopHat-Fusion	15	7	1	1	0.36
277	TopHat-Fusion	15	8	0	0	0.3
278	TopHat-Fusion	15	8	0	1	0.3
279	TopHat-Fusion	16	8	1	0	0.37
280	TopHat-Fusion	16	8	1	1	0.37
281	TopHat-Fusion	15	9	0	0	0.3
282	TopHat-Fusion	14	9	0	1	0.31
