prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	min_progs_agree
9.18	PIZZLY	5	229	303	168	0.58	0.43	0.494	9
9.19	JAFFA-Direct	4	308	585	89	0.78	0.34	0.474	9
9.20	FusionHunter	3	93	58	304	0.23	0.62	0.336	9
9.21	FusionHunter	5	92	56	305	0.23	0.62	0.336	9
9.22	FusionHunter	6	90	55	307	0.23	0.62	0.336	9
9.23	JAFFA-Hybrid	9	241	988	156	0.61	0.2	0.301	9
9.24	ChimeraScan	9	137	437	260	0.35	0.24	0.285	9
9.25	deFuse	19	193	966	204	0.49	0.17	0.252	9
9.26	nFuse	14	208	1328	189	0.52	0.14	0.221	9
9.27	nFuse	19	168	978	229	0.42	0.15	0.221	9
9.28	EricScript	16	198	2114	199	0.5	0.09	0.153	9
10.1	STAR_FUSION_v1.5	5	311	66	40	0.89	0.82	0.854	10
10.2	TrinityFusion-C	2	246	16	105	0.7	0.94	0.802	10
10.3	ARRIBA_hc	5	276	77	75	0.79	0.78	0.785	10
10.4	ChimPipe	3	228	8	123	0.65	0.97	0.778	10
10.5	TrinityFusion-UC	3	223	12	128	0.64	0.95	0.765	10
10.6	ARRIBA	6	278	125	73	0.79	0.69	0.737	10
10.7	SOAP-fuse	6	228	58	123	0.65	0.8	0.717	10
10.8	STARSEQR	3	310	246	41	0.88	0.56	0.684	10
10.9	TrinityFusion-D	2	189	24	162	0.54	0.89	0.672	10
10.10	PRADA	3	183	21	168	0.52	0.9	0.659	10
10.11	MapSplice	6	256	205	95	0.73	0.56	0.634	10
10.12	STARCHIP_csm10_pGm2_May012019	4	195	82	156	0.56	0.7	0.622	10
10.13	FUSIONCATCHER_v1.10_June192019	9	268	260	83	0.76	0.51	0.61	10
10.14	InFusion	8	236	202	115	0.67	0.54	0.598	10
10.15	TopHat-Fusion	7	249	297	102	0.71	0.46	0.558	10
10.16	JAFFA-Assembly	7	214	223	137	0.61	0.49	0.543	10
10.17	PIZZLY	5	225	303	126	0.64	0.43	0.514	10
10.18	JAFFA-Direct	7	221	360	130	0.63	0.38	0.474	10
10.19	FusionHunter	5	90	56	261	0.26	0.62	0.366	10
10.20	ChimeraScan	20	77	95	274	0.22	0.45	0.296	10
10.21	JAFFA-Hybrid	9	230	988	121	0.66	0.19	0.295	10
10.22	deFuse	22	166	834	185	0.47	0.17	0.25	10
10.23	nFuse	15	195	1243	156	0.56	0.14	0.224	10
10.24	EricScript	18	177	1864	174	0.5	0.09	0.153	10
10.25	EricScript	61	72	552	279	0.21	0.12	0.153	10
10.26	EricScript	62	72	550	279	0.21	0.12	0.153	10
