progname	min_thresh	ignoreUnsure	okpara	auc
TrinityFusion-UC	4	1	1	0.26
PIZZLY	4	1	1	0.23
JAFFA-Direct	4	1	1	0.21
PRADA	4	1	1	0.20
TrinityFusion-D	4	1	1	0.20
JAFFA-Assembly	4	1	1	0.17
ChimeraScan	4	1	1	0.13
JAFFA-Hybrid	4	1	1	0.11
FusionHunter	4	1	1	0.09
deFuse	4	1	1	0.09
nFuse	4	1	1	0.09
EricScript	4	1	1	0.03
STAR_FUSION_v1.5	4	0	0	0.50
ARRIBA	4	0	0	0.35
ARRIBA_hc	4	0	0	0.33
ChimPipe	4	0	0	0.33
InFusion	4	0	0	0.30
FUSIONCATCHER_v1.10_June192019	4	0	0	0.29
TrinityFusion-C	4	0	0	0.29
SOAP-fuse	4	0	0	0.27
MapSplice	4	0	0	0.26
STARSEQR	4	0	0	0.26
TrinityFusion-UC	4	0	0	0.26
TopHat-Fusion	4	0	0	0.25
TrinityFusion-D	4	0	0	0.21
JAFFA-Direct	4	0	0	0.20
STARCHIP_csm10_pGm2_May012019	4	0	0	0.20
PIZZLY	4	0	0	0.17
PRADA	4	0	0	0.17
JAFFA-Assembly	4	0	0	0.15
ChimeraScan	4	0	0	0.12
JAFFA-Hybrid	4	0	0	0.11
FusionHunter	4	0	0	0.09
deFuse	4	0	0	0.08
nFuse	4	0	0	0.08
EricScript	4	0	0	0.03
STAR_FUSION_v1.5	5	0	1	0.61
ChimPipe	5	0	1	0.40
ARRIBA	5	0	1	0.37
FUSIONCATCHER_v1.10_June192019	5	0	1	0.37
ARRIBA_hc	5	0	1	0.36
TrinityFusion-C	5	0	1	0.36
SOAP-fuse	5	0	1	0.35
TrinityFusion-UC	5	0	1	0.35
InFusion	5	0	1	0.34
MapSplice	5	0	1	0.33
STARSEQR	5	0	1	0.31
TopHat-Fusion	5	0	1	0.27
TrinityFusion-D	5	0	1	0.27
JAFFA-Direct	5	0	1	0.24
STARCHIP_csm10_pGm2_May012019	5	0	1	0.22
PRADA	5	0	1	0.20
JAFFA-Assembly	5	0	1	0.19
PIZZLY	5	0	1	0.18
ChimeraScan	5	0	1	0.14
JAFFA-Hybrid	5	0	1	0.13
FusionHunter	5	0	1	0.12
nFuse	5	0	1	0.09
deFuse	5	0	1	0.08
EricScript	5	0	1	0.04
STAR_FUSION_v1.5	5	0	0	0.62
ChimPipe	5	0	0	0.40
ARRIBA	5	0	0	0.39
ARRIBA_hc	5	0	0	0.38
FUSIONCATCHER_v1.10_June192019	5	0	0	0.38
TrinityFusion-C	5	0	0	0.38
SOAP-fuse	5	0	0	0.36
InFusion	5	0	0	0.35
TrinityFusion-UC	5	0	0	0.35
MapSplice	5	0	0	0.33
STARSEQR	5	0	0	0.30
TrinityFusion-D	5	0	0	0.28
TopHat-Fusion	5	0	0	0.27
JAFFA-Direct	5	0	0	0.24
STARCHIP_csm10_pGm2_May012019	5	0	0	0.22
PIZZLY	5	0	0	0.20
PRADA	5	0	0	0.20
JAFFA-Assembly	5	0	0	0.19
ChimeraScan	5	0	0	0.14
JAFFA-Hybrid	5	0	0	0.13
FusionHunter	5	0	0	0.12
nFuse	5	0	0	0.09
deFuse	5	0	0	0.08
EricScript	5	0	0	0.04
STAR_FUSION_v1.5	5	1	1	0.65
ARRIBA	5	1	1	0.56
ARRIBA_hc	5	1	1	0.52
STARSEQR	5	1	1	0.45
ChimPipe	5	1	1	0.43
FUSIONCATCHER_v1.10_June192019	5	1	1	0.40
InFusion	5	1	1	0.37
SOAP-fuse	5	1	1	0.37
TrinityFusion-C	5	1	1	0.37
TrinityFusion-UC	5	1	1	0.35
STARCHIP_csm10_pGm2_May012019	5	1	1	0.34
MapSplice	5	1	1	0.33
TopHat-Fusion	5	1	1	0.32
PIZZLY	5	1	1	0.27
TrinityFusion-D	5	1	1	0.27
PRADA	5	1	1	0.26
JAFFA-Direct	5	1	1	0.25
JAFFA-Assembly	5	1	1	0.21
ChimeraScan	5	1	1	0.16
JAFFA-Hybrid	5	1	1	0.13
FusionHunter	5	1	1	0.12
