prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	min_progs_agree
7.5	ChimPipe	3	270	8	220	0.55	0.97	0.702	7
7.6	TrinityFusion-C	2	274	16	216	0.56	0.94	0.702	7
7.7	ARRIBA	4	394	241	96	0.8	0.62	0.699	7
7.8	ARRIBA	5	356	173	134	0.73	0.67	0.699	7
7.9	TrinityFusion-UC	2	262	34	228	0.53	0.89	0.664	7
7.10	SOAP-fuse	6	246	56	244	0.5	0.81	0.618	7
7.11	TrinityFusion-D	2	216	24	274	0.44	0.9	0.591	7
7.12	MapSplice	3	315	282	175	0.64	0.53	0.58	7
7.13	STARCHIP_csm10_pGm2_May012019	4	229	81	261	0.47	0.74	0.575	7
7.14	FUSIONCATCHER_v1.10_June192019	7	325	327	165	0.66	0.5	0.569	7
7.15	InFusion	5	318	334	172	0.65	0.49	0.559	7
7.16	PRADA	3	188	21	302	0.38	0.9	0.534	7
7.17	TopHat-Fusion	5	319	390	171	0.65	0.45	0.532	7
7.18	JAFFA-Assembly	3	273	296	217	0.56	0.48	0.517	7
7.19	JAFFA-Direct	3	375	711	115	0.77	0.35	0.481	7
7.20	PIZZLY	5	235	303	255	0.48	0.44	0.459	7
7.21	FusionHunter	3	97	58	393	0.2	0.63	0.304	7
7.22	FusionHunter	5	96	56	394	0.2	0.63	0.304	7
7.23	JAFFA-Hybrid	7	291	1185	199	0.59	0.2	0.299	7
7.24	ChimeraScan	9	145	435	345	0.3	0.25	0.273	7
7.25	deFuse	20	196	911	294	0.4	0.18	0.248	7
7.26	nFuse	14	226	1328	264	0.46	0.15	0.226	7
7.27	EricScript	23	157	1471	333	0.32	0.1	0.152	7
8.1	STAR_FUSION_v1.5	4	385	109	49	0.89	0.78	0.831	8
8.2	ARRIBA_hc	4	325	106	109	0.75	0.75	0.75	8
8.3	TrinityFusion-C	2	265	16	169	0.61	0.94	0.74	8
8.4	ChimPipe	3	255	8	179	0.59	0.97	0.734	8
8.5	ARRIBA	5	338	173	96	0.78	0.66	0.715	8
8.6	STARSEQR	3	367	246	67	0.85	0.6	0.703	8
8.7	TrinityFusion-UC	2	252	34	182	0.58	0.88	0.699	8
8.8	SOAP-fuse	6	240	56	194	0.55	0.81	0.655	8
8.9	TrinityFusion-D	2	205	24	229	0.47	0.9	0.618	8
8.10	MapSplice	4	294	248	140	0.68	0.54	0.602	8
8.11	MapSplice	5	284	225	150	0.65	0.56	0.602	8
8.12	STARCHIP_csm10_pGm2_May012019	4	214	81	220	0.49	0.73	0.586	8
8.13	FUSIONCATCHER_v1.10_June192019	7	313	327	121	0.72	0.49	0.583	8
8.14	FUSIONCATCHER_v1.10_June192019	8	296	288	138	0.68	0.51	0.583	8
8.15	PRADA	3	188	21	246	0.43	0.9	0.582	8
8.16	InFusion	7	273	237	161	0.63	0.54	0.582	8
8.17	TopHat-Fusion	6	290	334	144	0.67	0.46	0.545	8
8.18	JAFFA-Assembly	3	264	296	170	0.61	0.47	0.531	8
8.19	JAFFA-Assembly	5	251	261	183	0.58	0.49	0.531	8
8.20	JAFFA-Direct	4	322	582	112	0.74	0.36	0.484	8
8.21	PIZZLY	5	232	303	202	0.53	0.43	0.475	8
8.22	FusionHunter	5	94	56	340	0.22	0.63	0.326	8
8.23	JAFFA-Hybrid	9	250	986	184	0.58	0.2	0.297	8
8.24	ChimeraScan	8	159	559	275	0.37	0.22	0.276	8
8.25	deFuse	19	197	966	237	0.45	0.17	0.247	8
8.26	nFuse	16	201	1169	233	0.46	0.15	0.226	8
8.27	EricScript	23	155	1471	279	0.36	0.1	0.157	8
9.1	STAR_FUSION_v1.5	5	333	66	64	0.84	0.83	0.835	9
9.2	ARRIBA_hc	4	310	106	87	0.78	0.75	0.765	9
9.3	TrinityFusion-C	2	255	16	142	0.64	0.94	0.762	9
9.4	ChimPipe	3	241	8	156	0.61	0.97	0.749	9
9.5	TrinityFusion-UC	2	241	34	156	0.61	0.88	0.721	9
9.6	ARRIBA	5	320	173	77	0.81	0.65	0.721	9
9.7	STARSEQR	3	345	246	52	0.87	0.58	0.696	9
9.8	SOAP-fuse	6	235	56	162	0.59	0.81	0.683	9
9.9	TrinityFusion-D	2	198	24	199	0.5	0.89	0.64	9
9.10	MapSplice	5	277	225	120	0.7	0.55	0.616	9
9.11	MapSplice	6	265	204	132	0.67	0.57	0.616	9
9.12	PRADA	3	184	21	213	0.46	0.9	0.609	9
9.13	STARCHIP_csm10_pGm2_May012019	4	203	81	194	0.51	0.71	0.594	9
9.14	InFusion	7	264	237	133	0.66	0.53	0.588	9
9.15	FUSIONCATCHER_v1.10_June192019	9	272	259	125	0.69	0.51	0.587	9
9.16	TopHat-Fusion	6	279	334	118	0.7	0.46	0.555	9
9.17	JAFFA-Assembly	5	242	261	155	0.61	0.48	0.537	9
9.18	PIZZLY	5	227	303	170	0.57	0.43	0.49	9
9.19	JAFFA-Direct	4	307	582	90	0.77	0.35	0.481	9
9.20	FusionHunter	3	94	58	303	0.24	0.62	0.346	9
9.21	JAFFA-Hybrid	9	242	986	155	0.61	0.2	0.301	9
9.22	ChimeraScan	9	137	435	260	0.35	0.24	0.285	9
9.23	deFuse	19	193	966	204	0.49	0.17	0.252	9
9.24	nFuse	19	167	978	230	0.42	0.15	0.221	9
9.25	EricScript	24	147	1396	250	0.37	0.1	0.157	9
10.1	STAR_FUSION_v1.5	5	309	66	42	0.88	0.82	0.849	10
10.2	TrinityFusion-C	2	241	16	110	0.69	0.94	0.796	10
10.3	ChimPipe	3	227	8	124	0.65	0.97	0.778	10
10.4	ARRIBA_hc	5	272	77	79	0.77	0.78	0.775	10
10.5	TrinityFusion-UC	3	220	12	131	0.63	0.95	0.758	10
10.6	ARRIBA	6	274	125	77	0.78	0.69	0.732	10
10.7	SOAP-fuse	6	224	56	127	0.64	0.8	0.711	10
10.8	STARSEQR	3	311	246	40	0.89	0.56	0.687	10
10.9	TrinityFusion-D	2	186	24	165	0.53	0.89	0.664	10
10.10	PRADA	3	183	21	168	0.52	0.9	0.659	10
10.11	MapSplice	6	256	204	95	0.73	0.56	0.634	10
10.12	STARCHIP_csm10_pGm2_May012019	4	194	81	157	0.55	0.71	0.62	10
10.13	FUSIONCATCHER_v1.10_June192019	9	265	259	86	0.75	0.51	0.607	10
10.14	InFusion	8	235	202	116	0.67	0.54	0.598	10
10.15	TopHat-Fusion	7	248	293	103	0.71	0.46	0.558	10
10.16	JAFFA-Assembly	7	213	223	138	0.61	0.49	0.543	10
10.17	PIZZLY	5	223	303	128	0.64	0.42	0.507	10
10.18	JAFFA-Direct	7	221	357	130	0.63	0.38	0.474	10
10.19	FusionHunter	5	91	56	260	0.26	0.62	0.366	10
10.20	ChimeraScan	20	77	94	274	0.22	0.45	0.296	10
10.21	JAFFA-Hybrid	9	231	986	120	0.66	0.19	0.295	10
10.22	deFuse	22	166	834	185	0.47	0.17	0.25	10
10.23	nFuse	15	194	1243	157	0.55	0.14	0.223	10
10.24	EricScript	18	177	1864	174	0.5	0.09	0.153	10
10.25	EricScript	61	72	552	279	0.21	0.12	0.153	10
10.26	EricScript	62	72	550	279	0.21	0.12	0.153	10
