prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	min_progs_agree
6.22	EricScript	10	25	50	25	0.5	0.33	0.398	6
6.23	ChimeraScan	6	29	72	21	0.58	0.29	0.387	6
7.1	ChimPipe	3	40	0	6	0.87	1	0.93	7
7.2	STAR_FUSION_v1.5	2	43	5	3	0.93	0.9	0.915	7
7.3	SOAP-fuse	2	41	3	5	0.89	0.93	0.91	7
7.4	STARSEQR	3	43	7	3	0.93	0.86	0.894	7
7.5	PRADA	5	34	0	12	0.74	1	0.851	7
7.6	ARRIBA_hc	3	38	8	8	0.83	0.83	0.83	7
7.7	FUSIONCATCHER_v1.10_June192019	3	37	13	9	0.8	0.74	0.769	7
7.8	ARRIBA	4	39	20	7	0.85	0.66	0.743	7
7.9	FusionHunter	3	27	1	19	0.59	0.96	0.731	7
7.10	JAFFA-Assembly	2	27	5	19	0.59	0.84	0.693	7
7.11	JAFFA-Hybrid	2	27	5	19	0.59	0.84	0.693	7
7.12	STARCHIP_csm10_pGm2_May012019	3	25	4	21	0.54	0.86	0.663	7
7.13	TrinityFusion-UC	2	22	0	24	0.48	1	0.649	7
7.14	MapSplice	8	27	14	19	0.59	0.66	0.623	7
7.15	TrinityFusion-C	2	21	1	25	0.46	0.95	0.62	7
7.16	PIZZLY	9	24	11	22	0.52	0.69	0.593	7
7.17	InFusion	8	27	21	19	0.59	0.56	0.575	7
7.18	deFuse	7	29	30	17	0.63	0.49	0.551	7
7.19	TrinityFusion-D	4	14	1	32	0.3	0.93	0.454	7
7.20	TopHat-Fusion	8	27	51	19	0.59	0.35	0.439	7
7.21	nFuse	23	19	26	27	0.41	0.42	0.415	7
7.22	ChimeraScan	8	23	47	23	0.5	0.33	0.398	7
7.23	EricScript	9	24	52	22	0.52	0.32	0.396	7
7.24	EricScript	10	24	50	22	0.52	0.32	0.396	7
8.1	ChimPipe	3	39	0	4	0.91	1	0.953	8
8.2	SOAP-fuse	2	40	3	3	0.93	0.93	0.93	8
8.3	STAR_FUSION_v1.5	4	41	4	2	0.95	0.91	0.93	8
8.4	STARSEQR	3	41	7	2	0.95	0.85	0.897	8
8.5	PRADA	5	33	0	10	0.77	1	0.87	8
8.6	ARRIBA_hc	3	37	8	6	0.86	0.82	0.84	8
8.7	FUSIONCATCHER_v1.10_June192019	3	37	13	6	0.86	0.74	0.795	8
8.8	FusionHunter	3	27	1	16	0.63	0.96	0.761	8
8.9	ARRIBA	4	38	20	5	0.88	0.66	0.754	8
8.10	JAFFA-Assembly	2	27	5	16	0.63	0.84	0.72	8
8.11	JAFFA-Hybrid	2	27	5	16	0.63	0.84	0.72	8
8.12	STARCHIP_csm10_pGm2_May012019	3	25	4	18	0.58	0.86	0.693	8
8.13	TrinityFusion-UC	2	22	0	21	0.51	1	0.675	8
8.14	TrinityFusion-C	2	21	1	22	0.49	0.95	0.647	8
8.15	MapSplice	8	27	14	16	0.63	0.66	0.645	8
8.16	PIZZLY	9	24	11	19	0.56	0.69	0.618	8
8.17	InFusion	8	27	21	16	0.63	0.56	0.593	8
8.18	deFuse	7	28	30	15	0.65	0.48	0.552	8
8.19	TrinityFusion-D	4	14	1	29	0.33	0.93	0.487	8
8.20	TopHat-Fusion	8	27	51	16	0.63	0.35	0.45	8
8.21	nFuse	23	19	26	24	0.44	0.42	0.43	8
8.22	ChimeraScan	8	23	47	20	0.53	0.33	0.407	8
8.23	EricScript	10	23	50	20	0.53	0.32	0.399	8
9.1	ChimPipe	3	35	0	3	0.92	1	0.958	9
9.2	SOAP-fuse	5	35	2	3	0.92	0.95	0.935	9
9.3	PRADA	5	33	0	5	0.87	1	0.93	9
9.4	STAR_FUSION_v1.5	5	36	4	2	0.95	0.9	0.924	9
9.5	STARSEQR	3	37	7	1	0.97	0.84	0.9	9
9.6	ARRIBA_hc	3	33	8	5	0.87	0.8	0.834	9
9.7	FUSIONCATCHER_v1.10_June192019	4	35	12	3	0.92	0.74	0.82	9
9.8	FUSIONCATCHER_v1.10_June192019	5	34	11	4	0.89	0.76	0.82	9
9.9	FusionHunter	4	24	1	14	0.63	0.96	0.761	9
9.10	JAFFA-Hybrid	2	26	5	12	0.68	0.84	0.752	9
9.11	JAFFA-Assembly	2	26	5	12	0.68	0.84	0.752	9
9.12	ARRIBA	5	33	17	5	0.87	0.66	0.751	9
9.13	STARCHIP_csm10_pGm2_May012019	3	24	4	14	0.63	0.86	0.727	9
9.14	TrinityFusion-UC	2	21	0	17	0.55	1	0.71	9
9.15	TrinityFusion-C	2	21	1	17	0.55	0.95	0.697	9
9.16	MapSplice	8	27	14	11	0.71	0.66	0.684	9
9.17	PIZZLY	9	24	11	14	0.63	0.69	0.659	9
9.18	InFusion	8	25	21	13	0.66	0.54	0.594	9
9.19	deFuse	7	27	30	11	0.71	0.47	0.566	9
