progname	min_thresh	ignoreUnsure	okpara	auc
ChimeraScan	10	0	0	0.26
nFuse	10	0	0	0.26
TopHat-Fusion	10	0	0	0.25
EricScript	10	0	0	0.19
PRADA	10	0	1	0.94
SOAP-fuse	10	0	1	0.93
ChimPipe	10	0	1	0.80
STAR_FUSION_v1.5	10	0	1	0.79
FUSIONCATCHER_v1.10_June192019	10	0	1	0.70
ARRIBA_hc	10	0	1	0.65
PIZZLY	10	0	1	0.65
STARSEQR	10	0	1	0.65
ARRIBA	10	0	1	0.61
FusionHunter	10	0	1	0.60
MapSplice	10	0	1	0.57
JAFFA-Assembly	10	0	1	0.48
JAFFA-Hybrid	10	0	1	0.48
STARCHIP_csm10_pGm2_May012019	10	0	1	0.45
TrinityFusion-C	10	0	1	0.42
TrinityFusion-UC	10	0	1	0.42
InFusion	10	0	1	0.39
deFuse	10	0	1	0.29
TrinityFusion-D	10	0	1	0.28
ChimeraScan	10	0	1	0.26
nFuse	10	0	1	0.26
TopHat-Fusion	10	0	1	0.25
EricScript	10	0	1	0.19
ARRIBA	3	1	1	0.49
ChimPipe	3	1	1	0.47
STAR_FUSION_v1.5	3	1	1	0.47
ARRIBA_hc	3	1	1	0.44
SOAP-fuse	3	1	1	0.44
STARSEQR	3	1	1	0.44
PRADA	3	1	1	0.36
FUSIONCATCHER_v1.10_June192019	3	1	1	0.33
STARCHIP_csm10_pGm2_May012019	3	1	1	0.33
PIZZLY	3	1	1	0.31
FusionHunter	3	1	1	0.29
JAFFA-Assembly	3	1	1	0.24
JAFFA-Hybrid	3	1	1	0.24
InFusion	3	1	1	0.23
MapSplice	3	1	1	0.21
TrinityFusion-UC	3	1	1	0.20
TrinityFusion-C	3	1	1	0.19
ChimeraScan	3	1	1	0.16
nFuse	3	1	1	0.16
TopHat-Fusion	3	1	1	0.15
deFuse	3	1	1	0.15
TrinityFusion-D	3	1	1	0.14
EricScript	3	1	1	0.10
STAR_FUSION_v1.5	3	0	0	0.50
ARRIBA	3	0	0	0.47
ChimPipe	3	0	0	0.47
SOAP-fuse	3	0	0	0.46
ARRIBA_hc	3	0	0	0.43
STARSEQR	3	0	0	0.40
PRADA	3	0	0	0.36
FUSIONCATCHER_v1.10_June192019	3	0	0	0.33
STARCHIP_csm10_pGm2_May012019	3	0	0	0.31
FusionHunter	3	0	0	0.29
PIZZLY	3	0	0	0.29
JAFFA-Assembly	3	0	0	0.23
JAFFA-Hybrid	3	0	0	0.23
InFusion	3	0	0	0.22
MapSplice	3	0	0	0.21
TrinityFusion-UC	3	0	0	0.20
TrinityFusion-C	3	0	0	0.18
ChimeraScan	3	0	0	0.15
TopHat-Fusion	3	0	0	0.15
TrinityFusion-D	3	0	0	0.15
nFuse	3	0	0	0.15
deFuse	3	0	0	0.14
EricScript	3	0	0	0.10
ARRIBA	3	1	0	0.52
STAR_FUSION_v1.5	3	1	0	0.50
ARRIBA_hc	3	1	0	0.47
ChimPipe	3	1	0	0.47
SOAP-fuse	3	1	0	0.47
STARSEQR	3	1	0	0.44
PRADA	3	1	0	0.36
FUSIONCATCHER_v1.10_June192019	3	1	0	0.33
PIZZLY	3	1	0	0.33
STARCHIP_csm10_pGm2_May012019	3	1	0	0.33
FusionHunter	3	1	0	0.29
JAFFA-Assembly	3	1	0	0.24
JAFFA-Hybrid	3	1	0	0.24
InFusion	3	1	0	0.23
MapSplice	3	1	0	0.21
TrinityFusion-UC	3	1	0	0.20
TrinityFusion-C	3	1	0	0.18
ChimeraScan	3	1	0	0.16
nFuse	3	1	0	0.16
TopHat-Fusion	3	1	0	0.15
TrinityFusion-D	3	1	0	0.15
deFuse	3	1	0	0.15
EricScript	3	1	0	0.10
ChimPipe	3	0	1	0.47
STAR_FUSION_v1.5	3	0	1	0.47
ARRIBA	3	0	1	0.44
SOAP-fuse	3	0	1	0.43
ARRIBA_hc	3	0	1	0.41
STARSEQR	3	0	1	0.40
PRADA	3	0	1	0.36
FUSIONCATCHER_v1.10_June192019	3	0	1	0.33
