prog	min_sum_frags	TP	FP	FN	TPR	PPV	F1	min_progs_agree
6.6	PRADA	5	34	0	16	0.68	1	0.81	6
6.7	ARRIBA	3	48	30	2	0.96	0.62	0.753	6
6.8	FUSIONCATCHER_v1.10_June192019	3	37	13	13	0.74	0.74	0.74	6
6.9	FusionHunter	3	28	1	22	0.56	0.97	0.71	6
6.10	JAFFA-Assembly	1	29	7	21	0.58	0.81	0.676	6
6.11	JAFFA-Hybrid	1	29	7	21	0.58	0.81	0.676	6
6.12	STARCHIP_csm10_pGm2_May012019	3	26	4	24	0.52	0.87	0.651	6
6.13	TrinityFusion-UC	2	22	0	28	0.44	1	0.611	6
6.14	MapSplice	8	27	14	23	0.54	0.66	0.594	6
6.15	TrinityFusion-C	2	21	1	29	0.42	0.95	0.582	6
6.16	PIZZLY	9	25	11	25	0.5	0.69	0.58	6
6.17	InFusion	8	28	21	22	0.56	0.57	0.565	6
6.18	deFuse	7	30	30	20	0.6	0.5	0.545	6
6.19	TrinityFusion-D	4	15	1	35	0.3	0.94	0.455	6
6.20	TopHat-Fusion	8	28	51	22	0.56	0.35	0.431	6
6.21	nFuse	23	20	26	30	0.4	0.43	0.414	6
6.22	EricScript	10	25	50	25	0.5	0.33	0.398	6
6.23	ChimeraScan	6	29	72	21	0.58	0.29	0.387	6
7.1	ChimPipe	3	40	0	6	0.87	1	0.93	7
7.2	STAR_FUSION_v1.5	2	44	5	2	0.96	0.9	0.929	7
7.3	SOAP-fuse	2	42	3	4	0.91	0.93	0.92	7
7.4	STARSEQR	3	43	7	3	0.93	0.86	0.894	7
7.5	PRADA	5	34	0	12	0.74	1	0.851	7
7.6	ARRIBA_hc	3	39	8	7	0.85	0.83	0.84	7
7.7	FUSIONCATCHER_v1.10_June192019	3	37	13	9	0.8	0.74	0.769	7
7.8	ARRIBA	4	40	20	6	0.87	0.67	0.757	7
7.9	FusionHunter	3	27	1	19	0.59	0.96	0.731	7
7.10	JAFFA-Hybrid	2	27	5	19	0.59	0.84	0.693	7
7.11	JAFFA-Assembly	2	27	5	19	0.59	0.84	0.693	7
7.12	STARCHIP_csm10_pGm2_May012019	3	25	4	21	0.54	0.86	0.663	7
7.13	TrinityFusion-UC	2	22	0	24	0.48	1	0.649	7
7.14	MapSplice	8	27	14	19	0.59	0.66	0.623	7
7.15	TrinityFusion-C	2	21	1	25	0.46	0.95	0.62	7
7.16	PIZZLY	9	25	11	21	0.54	0.69	0.606	7
7.17	InFusion	8	27	21	19	0.59	0.56	0.575	7
7.18	deFuse	7	29	30	17	0.63	0.49	0.551	7
7.19	TrinityFusion-D	4	15	1	31	0.33	0.94	0.489	7
7.20	TopHat-Fusion	8	27	51	19	0.59	0.35	0.439	7
7.21	nFuse	23	19	26	27	0.41	0.42	0.415	7
7.22	ChimeraScan	8	23	47	23	0.5	0.33	0.398	7
7.23	EricScript	9	24	52	22	0.52	0.32	0.396	7
7.24	EricScript	10	24	50	22	0.52	0.32	0.396	7
8.1	ChimPipe	3	39	0	4	0.91	1	0.953	8
