sample	prog	time_h
G26216.KP-2.2	JAFFA_ASSEMBLY	17.05
G26216.KP-2.2	JAFFA_HYBRID	81.38
G26216.KP-2.2	JAFFA_DIRECT	13.90
G26216.KP-2.2	INFUSION_CF3	67.77
G26216.KP-2.2	CHIMPIPE	9.65
G26216.KP-2.2	ARRIBA	0.99
G26216.KP-2.2	PIZZLY	0.44
G26216.KP-2.2	STAR_FUSION_v1.5_hg19_Apr042019	2.70
G26216.KP-2.2	STARCHIP	0.83
G26216.KP-2.2	STARSEQR	1.68
G26216.KP-2.2	TRINITY_FUSION_C_hg19	32.22
G26216.KP-2.2	TRINITY_FUSION_hg19_Apr092019	79.04
G26216.KP-2.2	TRINITY_FUSION_D_hg19	82.49
G26216.KP-2.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.03
G26228.Hs_683.2	TOPHAT_FUSION	34.37
G26228.Hs_683.2	SOAP_FUSE	43.69
G26228.Hs_683.2	CHIMERASCAN	30.44
G26228.Hs_683.2	PRADA	14.05
G26228.Hs_683.2	DEFUSE	14.13
G26228.Hs_683.2	ERICSCRIPT	8.02
G26228.Hs_683.2	FUSION_CATCHER_V0994e	5.09
G26228.Hs_683.2	MAPSPLICE	27.72
G26228.Hs_683.2	FUSIONHUNTER	10.44
G26228.Hs_683.2	NFUSE	6.58
G26228.Hs_683.2	JAFFA_ASSEMBLY	26.08
G26228.Hs_683.2	JAFFA_HYBRID	80.90
G26228.Hs_683.2	JAFFA_DIRECT	16.68
G26228.Hs_683.2	INFUSION_CF3	67.04
G26228.Hs_683.2	CHIMPIPE	20.44
G26228.Hs_683.2	ARRIBA	1.04
G26228.Hs_683.2	PIZZLY	0.54
G26228.Hs_683.2	STAR_FUSION_v1.5_hg19_Apr042019	2.78
G26228.Hs_683.2	STARCHIP	0.87
G26228.Hs_683.2	STARSEQR	2.13
G26228.Hs_683.2	TRINITY_FUSION_C_hg19	46.52
G26228.Hs_683.2	TRINITY_FUSION_hg19_Apr092019	82.32
G26228.Hs_683.2	TRINITY_FUSION_D_hg19	81.20
G26228.Hs_683.2	STAR_FUSION_v1.5_hg19_KICKSTART_Apr302019	0.03
G26236.NCI-H716.2	TOPHAT_FUSION	30.95
